version,section,filename,function,offset,length,language
us,init,n_csplayer,.L10014D34,268520756,164,c
us,init,n_csplayer,.L10014DD8,268520920,176,c
us,init,n_csplayer,.L10014E88,268521096,404,c
us,init,n_csplayer,.L1001501C,268521500,756,c
us,init,n_csplayer,__n_CSPRepostEvent.NON_MATCHING,268522256,0,c
us,init,n_csplayer,__n_CSPRepostEvent,268522256,340,asm
us,init,n_csplayer,__n_setUsptFromTempo,268522596,72,c
us,init,n_csplayer,__n_CSPPostNextSeqEvent,268522668,164,c
us,init,init_15550,func_10015550,268522832,80,c
us,init,init_15550,func_100155A0,268522912,0,asm
us,init,init_15550,func_100155A0.NON_MATCHING,268522912,728,c
us,init,init_15550,func_10015878,268523640,204,c
us,init,init_15550,_n_handleEvent.NON_MATCHING,268523844,0,c
us,init,init_15550,_n_handleEvent,268523844,1088,asm
us,init,init_15550,.L10015D84,268524932,1752,c
us,init,init_15550,.L1001645C,268526684,404,c
us,init,init_15550,.L100165F0,268527088,164,c
us,init,init_15550,.L10016694,268527252,408,c
us,init,init_15550,.L1001682C,268527660,1508,c
us,init,init_15550,.L10016E10,268529168,128,c
us,init,init_15550,func_10016E90,268529296,112,c
us,init,init_15550,func_10016F00,268529408,128,c
us,init,init_15550,func_10016F80,268529536,0,asm
us,init,init_15550,func_10016F80.NON_MATCHING,268529536,384,c
us,init,init_15550,func_10017100,268529920,408,c
us,init,init_15550,func_10017298,268530328,300,c
us,init,init_15550,func_100173C4,268530628,116,c
us,init,init_15550,func_10017438,268530744,0,asm
